Time, vA, vB, vC, targetVelocity, pwmA, pwmB, pwmC
29600, 425.53, 421.60, 419.31,401.50,0.05, 0.10, 0.28,
29800, 417.51, 415.95, 409.26,394.20,0.06, 0.08, 0.29,
30000, 409.64, 406.19, 401.70,386.90,0.06, 0.10, 0.29,
30200, 399.93, 399.87, 395.13,379.60,0.08, 0.09, 0.27,
30400, 395.40, 390.94, 388.10,372.30,0.05, 0.09, 0.26,
30600, 384.80, 381.65, 382.22,365.00,0.06, 0.11, 0.25,
30800, 377.07, 374.23, 372.71,357.70,0.06, 0.11, 0.25,
31000, 370.67, 368.12, 364.37,350.40,0.06, 0.09, 0.26,
31200, 365.47, 359.99, 357.42,343.10,0.04, 0.09, 0.25,
31400, 352.22, 350.30, 348.68,335.80,0.07, 0.11, 0.26,
31600, 346.60, 343.74, 342.01,328.50,0.07, 0.10, 0.25,
31800, 340.11, 334.68, 333.91,321.20,0.07, 0.11, 0.25,
32000, 331.25, 331.56, 326.72,313.90,0.06, 0.09, 0.25,
32200, 324.04, 321.35, 319.99,306.60,0.07, 0.10, 0.23,
32400, 314.97, 315.02, 309.93,299.30,0.07, 0.09, 0.25,
32600, 308.64, 306.22, 303.17,292.00,0.07, 0.09, 0.24,
32800, 299.92, 299.60, 296.10,284.70,0.08, 0.10, 0.24,
33000, 291.88, 288.64, 290.46,277.40,0.08, 0.11, 0.22,
33200, 284.27, 281.91, 280.68,270.10,0.08, 0.11, 0.23,
33400, 276.42, 272.58, 274.82,262.80,0.08, 0.12, 0.22,
33600, 268.12, 266.35, 265.18,255.50,0.09, 0.11, 0.23,
33800, 262.37, 257.89, 259.89,248.20,0.08, 0.12, 0.22,
34000, 252.96, 251.30, 251.00,240.90,0.10, 0.12, 0.23,
34200, 248.17, 243.59, 243.07,233.60,0.08, 0.12, 0.22,
34400, 240.08, 238.36, 236.14,226.30,0.08, 0.11, 0.22,
34600, 232.03, 230.23, 229.50,219.00,0.09, 0.11, 0.21,
34800, 222.82, 223.47, 221.45,211.70,0.10, 0.11, 0.21,
35000, 213.37, 215.94, 212.24,204.40,0.11, 0.11, 0.22,
35200, 205.43, 204.98, 205.20,197.10,0.12, 0.13, 0.22,
35400, 198.51, 198.22, 198.61,189.80,0.11, 0.13, 0.21,
35600, 191.33, 190.87, 189.42,182.50,0.12, 0.13, 0.22,
35800, 183.88, 183.65, 182.37,175.20,0.12, 0.12, 0.21,
36000, 177.72, 175.04, 173.75,167.90,0.11, 0.13, 0.22,
36200, 166.72, 169.96, 166.83,160.60,0.13, 0.12, 0.22,
36400, 159.66, 159.53, 159.91,153.30,0.13, 0.14, 0.21,
36600, 151.47, 151.56, 149.51,146.00,0.14, 0.14, 0.23,
36800, 145.28, 144.56, 143.47,138.70,0.13, 0.14, 0.22,
37000, 138.89, 137.80, 134.78,131.40,0.12, 0.13, 0.22,
37200, 133.17, 130.37, 127.47,124.10,0.12, 0.14, 0.22,
37400, 121.73, 125.73, 119.93,116.80,0.14, 0.12, 0.22,
37600, 116.01, 114.34, 112.85,109.50,0.13, 0.14, 0.21,
37800, 108.81, 107.64, 106.08,102.20,0.13, 0.14, 0.20,
38000, 99.50, 100.84, 97.72,94.90,0.14, 0.13, 0.21,
38200, 94.81, 94.15, 91.56,87.60,0.12, 0.13, 0.20,
38400, 83.59, 83.14, 81.45,80.30,0.14, 0.15, 0.21,
38600, 77.53, 77.28, 75.62,73.00,0.13, 0.13, 0.20,
38800, 69.75, 69.81, 65.46,65.70,0.14, 0.13, 0.22,
39000, 61.88, 62.39, 59.14,58.40,0.14, 0.14, 0.20,
39200, 52.47, 55.56, 50.40,51.10,0.15, 0.12, 0.21,
39400, 47.65, 48.15, 43.95,43.80,0.12, 0.13, 0.20,
39600, 39.41, 37.34, 35.59,36.50,0.13, 0.14, 0.20,
39800, 29.21, 30.73, 27.24,29.20,0.14, 0.13, 0.20,
40000, 22.59, 22.05, 20.04,21.90,0.14, 0.14, 0.20,
40200, 10.74, 13.95, 12.76,14.60,0.16, 0.14, 0.22,
40400, 2.91, 8.19, 0.00,7.30,0.16, 0.14, 0.18,
40600, 0.00, 0.00, 0.00,0.00,0.09, 0.05, 0.15,
