counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
6,299.77,290.00,0.29,311.24,290.00,0.01,309.35,290.00,0.04
7,295.74,290.00,0.30,304.97,290.00,0.02,300.27,290.00,0.06
8,293.93,300.00,0.47,294.65,300.00,0.47,291.40,300.00,0.49
1,296.75,300.00,0.46,299.35,300.00,0.44,301.20,300.00,0.44
2,305.88,300.00,0.41,325.83,300.00,0.26,323.61,300.00,0.28
3,310.51,300.00,0.36,341.23,300.00,0.10,341.00,300.00,0.11
4,312.40,300.00,0.33,339.95,300.00,0.03,338.68,300.00,0.04
5,310.28,300.00,0.32,329.26,300.00,0.02,329.48,300.00,0.03
6,310.15,300.00,0.30,323.19,300.00,0.01,321.66,300.00,0.03
7,308.84,300.00,0.29,313.68,300.00,0.03,311.33,300.00,0.06
8,304.58,310.00,0.48,306.27,310.00,0.47,300.57,310.00,0.51
1,305.51,310.00,0.49,310.90,310.00,0.44,312.50,310.00,0.44
2,313.96,310.00,0.43,333.66,310.00,0.28,338.00,310.00,0.26
3,322.83,310.00,0.36,350.96,310.00,0.11,351.78,310.00,0.11
4,324.32,310.00,0.33,348.69,310.00,0.05,347.17,310.00,0.06
5,324.04,310.00,0.30,342.08,310.00,0.02,340.83,310.00,0.03
6,318.32,310.00,0.31,332.35,310.00,0.02,329.46,310.00,0.04
7,319.67,310.00,0.29,324.57,310.00,0.03,321.35,310.00,0.06
8,313.37,320.00,0.50,315.47,320.00,0.49,312.21,320.00,0.51
1,315.06,320.00,0.51,324.41,320.00,0.44,318.58,320.00,0.48
2,325.57,320.00,0.44,349.65,320.00,0.25,349.31,320.00,0.27
3,334.73,320.00,0.37,361.46,320.00,0.11,361.86,320.00,0.12
4,332.52,320.00,0.35,359.04,320.00,0.04,359.33,320.00,0.06
5,334.59,320.00,0.31,353.16,320.00,0.00,351.33,320.00,0.04
6,332.85,320.00,0.30,342.13,320.00,0.02,341.42,320.00,0.04
7,328.19,320.00,0.30,332.40,320.00,0.04,334.80,320.00,0.05
8,325.13,330.00,0.51,325.64,330.00,0.50,324.78,330.00,0.51
1,325.62,330.00,0.51,330.86,330.00,0.47,331.61,330.00,0.47
2,333.70,330.00,0.46,359.52,330.00,0.27,359.15,330.00,0.27
3,342.58,330.00,0.39,374.42,330.00,0.11,373.20,330.00,0.12
4,345.37,330.00,0.35,372.96,330.00,0.03,371.85,330.00,0.04
5,346.90,330.00,0.31,365.93,330.00,-0.01,361.08,330.00,0.03
6,342.19,330.00,0.31,353.21,330.00,0.01,353.08,330.00,0.03
7,336.46,330.00,0.32,345.23,330.00,0.02,340.06,330.00,0.07
8,336.78,340.00,0.51,337.56,340.00,0.50,334.97,340.00,0.52
1,335.75,340.00,0.52,342.73,340.00,0.47,341.56,340.00,0.48
2,347.56,340.00,0.45,369.70,340.00,0.28,367.40,340.00,0.30
